Episode,Reward
0,-208
1,-91
2,-167
3,650
4,-330
5,-242
6,-288
7,-351
8,795
9,-318
10,-309
11,-280
12,1050
13,-237
14,600
15,-43
16,-423
17,-320
18,-502
19,-56
20,-161
21,-185
22,-439
23,-522
24,-468
25,1325
26,1085
27,770
28,-175
29,-468
30,-213
31,25
32,-276
33,1225
34,-306
35,-389
36,-420
37,-153
38,-268
39,-307
40,-384
41,-282
42,-248
43,1245
44,-231
45,-239
46,-344
47,1150
48,-301
49,-281
50,-399
51,-195
52,-230
53,-348
54,-243
55,-198
56,825
57,-290
58,1000
59,775
60,1100
61,-246
62,-347
63,1575
64,-287
65,-457
66,-417
67,-377
68,-424
69,390
70,-186
71,-529
72,460
73,-318
74,705
75,-329
76,22
77,-305
78,1250
79,-152
80,-251
81,325
82,-40
83,-446
84,-270
85,1275
86,-238
87,630
88,1000
89,-267
90,1275
91,-386
92,-221
93,1525
94,-85
95,-362
96,1450
97,950
98,-46
99,-426
100,1695
101,-41
102,1290
103,1355
104,-151
105,-335
106,1330
107,-377
108,-471
109,-311
110,-125
111,-184
112,-383
113,-185
114,1330
115,-83
116,-182
117,-290
118,850
119,-438
120,-355
121,-256
122,-305
123,-228
124,-221
125,1000
126,675
127,-339
128,-402
129,-38
130,-547
131,-390
132,-556
133,1360
134,-334
135,1280
136,-446
137,-332
138,-348
139,-464
140,1200
141,-373
142,-398
143,-458
144,715
145,1450
146,-307
147,590
148,-480
149,-238
150,-404
151,-177
152,-464
153,-500
154,-309
155,-97
156,-395
157,925
158,-267
159,1040
160,-195
161,-148
162,-327
163,-295
164,75
165,1250
166,-592
167,-253
168,1375
169,-414
170,-196
171,950
172,-95
173,375
174,31
175,1325
176,-406
177,-306
178,-207
179,-445
180,-150
181,-428
182,-533
183,1250
184,-320
185,1250
186,995
187,-360
188,-386
189,1225
190,1225
191,1425
192,-370
193,1175
194,-58
195,1145
196,1130
197,845
198,900
199,-329
200,-294
